Not included	a548w	86.3785	-25.9340	0.0424	1.79	0.234	0.183	0.240
Not included	a548e	87.1596	-25.4692	0.0410	1.88	1.551	1.117	1.870
Not included	a3395n	96.9005	-54.4447	0.0498	5.42	1.555	1.650	3.461
Not included	ugc3957	115.2481	55.4319	0.0340	4.59	1.975	0.980	1.531
Not included	pks0745-191	116.8837	-19.2955	0.1028	43.49	6.155	27.565	70.604
Not included	a644	124.3553	-7.5159	0.0704	5.14	3.994	8.414	22.684
Not included	as636	157.5151	-35.3093	0.0116	6.42	5.869	0.341	0.446
Not included	a1413	178.8271	23.4051	0.1427	1.62	1.289	11.090	28.655
Not included	m49	187.4437	7.9956	0.0044	1.59	1.851	0.015	0.019
Not included	a3528n	193.5906	-29.0130	0.0540	6.10	1.263	1.581	2.752
Not included	a3528s	193.6708	-29.2254	0.0551	6.10	1.703	2.224	3.746
Not included	a3530	193.9211	-30.3451	0.0544	6.00	0.987	1.252	2.317
Not included	a3532	194.3375	-30.3698	0.0539	5.96	1.797	2.235	4.483
Not included	a1689	197.8726	-1.3408	0.1840	1.80	1.454	20.605	60.707
Not included	a3560	203.1119	-33.1355	0.0495	3.92	1.519	1.601	2.701
Not included	a1775	205.4582	26.3820	0.0757	1.00	1.290	3.175	5.735
Not included	a1800	207.3408	28.1038	0.0748	1.18	1.183	2.840	5.337
Not included	a1914	216.5035	37.8268	0.1712	0.97	1.454	17.813	56.533
Not included	ngc5813	225.2994	1.6981	0.0064	4.19	1.447	0.025	0.029
Not included	ngc5846	226.6253	1.6089	0.0061	4.25	0.851	0.014	0.016
Not included	a2151w	241.1465	17.7252	0.0369	3.36	1.568	0.917	1.397
Not included	a3627	243.5546	-60.8430	0.0163	20.83	31.084	3.524	8.179
Not included	tri	249.5758	-64.3557	0.0510	12.29	11.308	12.508	37.739
Not included	oph	258.1115	-23.3634	0.0280	20.14	35.749	11.953	37.391
Not included	z1742	266.0623	32.9893	0.0757	3.56	1.850	4.529	9.727
Not included	a2319	290.2980	43.9484	0.0564	8.77	12.202	16.508	47.286
Not included	a3695	308.6991	-35.8135	0.0890	3.56	1.739	5.882	12.715
Not included	iizw108	318.4752	2.5564	0.0494	6.63	1.884	1.969	3.445
Not included	a3822	328.5438	-57.8668	0.0760	2.12	1.926	4.758	9.877
Not included	a3827	330.4869	-59.9641	0.0980	2.84	1.955	7.963	20.188
Not included	a3888	338.6255	-37.7343	0.1510	1.20	1.096	10.512	30.183
Not included	a3921	342.5019	-64.4286	0.0936	2.80	1.308	4.882	11.023
Not included	hcg94	349.3041	18.7060	0.0417	4.55	1.775	1.324	2.319
Not included	rxj2344.2-0422	356.0723	-4.3776	0.0786	3.54	1.385	3.661	7.465
